Start: Fri Nov 22 23:54:15 CST 2019
Threads:  1 | Map Partitions: 1 | "Elapsed time: 56818.5413 msecs"
Threads:  2 | Map Partitions: 1 | "Elapsed time: 57876.098399 msecs"
Threads:  4 | Map Partitions: 1 | "Elapsed time: 57761.811801 msecs"
Threads:  8 | Map Partitions: 1 | "Elapsed time: 57906.613901 msecs"
Threads: 16 | Map Partitions: 1 | "Elapsed time: 57400.937101 msecs"
Threads: 20 | Map Partitions: 1 | "Elapsed time: 57787.4894 msecs"
Threads: 32 | Map Partitions: 1 | "Elapsed time: 57614.0248 msecs"
Threads: 64 | Map Partitions: 1 | "Elapsed time: 57766.3975 msecs"
Threads:  1 | Map Partitions: 2 | "Elapsed time: 56539.8151 msecs"
Threads:  2 | Map Partitions: 2 | "Elapsed time: 32564.4376 msecs"
Threads:  4 | Map Partitions: 2 | "Elapsed time: 32587.2957 msecs"
Threads:  8 | Map Partitions: 2 | "Elapsed time: 32602.4588 msecs"
Threads: 16 | Map Partitions: 2 | "Elapsed time: 33038.6025 msecs"
Threads: 20 | Map Partitions: 2 | "Elapsed time: 33680.0089 msecs"
Threads: 32 | Map Partitions: 2 | "Elapsed time: 32774.9134 msecs"
Threads: 64 | Map Partitions: 2 | "Elapsed time: 32712.332 msecs"
Threads:  1 | Map Partitions: 4 | "Elapsed time: 56577.2214 msecs"
Threads:  2 | Map Partitions: 4 | "Elapsed time: 30042.3978 msecs"
Threads:  4 | Map Partitions: 4 | "Elapsed time: 19572.6529 msecs"
Threads:  8 | Map Partitions: 4 | "Elapsed time: 19549.2045 msecs"
Threads: 16 | Map Partitions: 4 | "Elapsed time: 19583.2531 msecs"
Threads: 20 | Map Partitions: 4 | "Elapsed time: 19593.512 msecs"
Threads: 32 | Map Partitions: 4 | "Elapsed time: 19567.9733 msecs"
Threads: 64 | Map Partitions: 4 | "Elapsed time: 19577.8179 msecs"
Threads:  1 | Map Partitions: 8 | "Elapsed time: 56582.4736 msecs"
Threads:  2 | Map Partitions: 8 | "Elapsed time: 23864.0983 msecs"
Threads:  4 | Map Partitions: 8 | "Elapsed time: 17035.1532 msecs"
Threads:  8 | Map Partitions: 8 | "Elapsed time: 13158.8581 msecs"
Threads: 16 | Map Partitions: 8 | "Elapsed time: 13126.7624 msecs"
Threads: 20 | Map Partitions: 8 | "Elapsed time: 13106.3963 msecs"
Threads: 32 | Map Partitions: 8 | "Elapsed time: 13105.336 msecs"
Threads: 64 | Map Partitions: 8 | "Elapsed time: 13124.8046 msecs"
Threads:  1 | Map Partitions: 16 | "Elapsed time: 56660.0755 msecs"
Threads:  2 | Map Partitions: 16 | "Elapsed time: 23386.0112 msecs"
Threads:  4 | Map Partitions: 16 | "Elapsed time: 15943.2312 msecs"
Threads:  8 | Map Partitions: 16 | "Elapsed time: 11111.9694 msecs"
Threads: 16 | Map Partitions: 16 | "Elapsed time: 10904.1376 msecs"
Threads: 20 | Map Partitions: 16 | "Elapsed time: 10879.6714 msecs"
Threads: 32 | Map Partitions: 16 | "Elapsed time: 10863.1482 msecs"
Threads: 64 | Map Partitions: 16 | "Elapsed time: 10873.5953 msecs"
Threads:  1 | Map Partitions: 20 | "Elapsed time: 57265.5827 msecs"
Threads:  2 | Map Partitions: 20 | "Elapsed time: 22020.5098 msecs"
Threads:  4 | Map Partitions: 20 | "Elapsed time: 14410.2507 msecs"
Threads:  8 | Map Partitions: 20 | "Elapsed time: 10936.771 msecs"
Threads: 16 | Map Partitions: 20 | "Elapsed time: 10064.6874 msecs"
Threads: 20 | Map Partitions: 20 | "Elapsed time: 10369.7542 msecs"
Threads: 32 | Map Partitions: 20 | "Elapsed time: 10383.565 msecs"
Threads: 64 | Map Partitions: 20 | "Elapsed time: 10385.2663 msecs"
Threads:  1 | Map Partitions: 32 | "Elapsed time: 56855.4227 msecs"
Threads:  2 | Map Partitions: 32 | "Elapsed time: 21789.2544 msecs"
Threads:  4 | Map Partitions: 32 | "Elapsed time: 14499.9166 msecs"
Threads:  8 | Map Partitions: 32 | "Elapsed time: 10107.1431 msecs"
Threads: 16 | Map Partitions: 32 | "Elapsed time: 8968.9209 msecs"
Threads: 20 | Map Partitions: 32 | "Elapsed time: 8991.8654 msecs"
Threads: 32 | Map Partitions: 32 | "Elapsed time: 9439.6042 msecs"
Threads: 64 | Map Partitions: 32 | "Elapsed time: 9467.997 msecs"
Threads:  1 | Map Partitions: 64 | "Elapsed time: 57440.2913 msecs"
Threads:  2 | Map Partitions: 64 | "Elapsed time: 22134.7644 msecs"
Threads:  4 | Map Partitions: 64 | "Elapsed time: 14180.5418 msecs"
Threads:  8 | Map Partitions: 64 | "Elapsed time: 9683.9229 msecs"
Threads: 16 | Map Partitions: 64 | "Elapsed time: 8404.1106 msecs"
Threads: 20 | Map Partitions: 64 | "Elapsed time: 8298.2011 msecs"
Threads: 32 | Map Partitions: 64 | "Elapsed time: 8542.985 msecs"
Threads: 64 | Map Partitions: 64 | "Elapsed time: 9763.1933 msecs"
Threads:  1 | Map Partitions: 128 | "Elapsed time: 58148.682 msecs"
Threads:  2 | Map Partitions: 128 | "Elapsed time: 23045.9168 msecs"
Threads:  4 | Map Partitions: 128 | "Elapsed time: 14830.2167 msecs"
Threads:  8 | Map Partitions: 128 | "Elapsed time: 10004.8428 msecs"
Threads: 16 | Map Partitions: 128 | "Elapsed time: 8498.4267 msecs"
Threads: 20 | Map Partitions: 128 | "Elapsed time: 8165.4794 msecs"
Threads: 32 | Map Partitions: 128 | "Elapsed time: 8294.1454 msecs"
Threads: 64 | Map Partitions: 128 | "Elapsed time: 9016.7698 msecs"
Threads:  1 | Map Partitions: 256 | "Elapsed time: 59147.569 msecs"
Threads:  2 | Map Partitions: 256 | "Elapsed time: 24888.4444 msecs"
Threads:  4 | Map Partitions: 256 | "Elapsed time: 16000.8508 msecs"
Threads:  8 | Map Partitions: 256 | "Elapsed time: 10419.3111 msecs"
Threads: 16 | Map Partitions: 256 | "Elapsed time: 8973.059 msecs"
Threads: 20 | Map Partitions: 256 | "Elapsed time: 8313.9797 msecs"
Threads: 32 | Map Partitions: 256 | "Elapsed time: 8346.6238 msecs"
Threads: 64 | Map Partitions: 256 | "Elapsed time: 8872.9334 msecs"
Threads:  1 | Map Partitions: 512 | "Elapsed time: 61281.6498 msecs"
Threads:  2 | Map Partitions: 512 | "Elapsed time: 27745.4776 msecs"
Threads:  4 | Map Partitions: 512 | "Elapsed time: 17721.5363 msecs"
Threads:  8 | Map Partitions: 512 | "Elapsed time: 11538.5272 msecs"
Threads: 16 | Map Partitions: 512 | "Elapsed time: 9927.7059 msecs"
Threads: 20 | Map Partitions: 512 | "Elapsed time: 9666.9485 msecs"
Threads: 32 | Map Partitions: 512 | "Elapsed time: 9493.2956 msecs"
Threads: 64 | Map Partitions: 512 | "Elapsed time: 9640.0598 msecs"
Threads:  1 | Map Partitions: 1024 | "Elapsed time: 66653.0724 msecs"
Threads:  2 | Map Partitions: 1024 | "Elapsed time: 32450.8202 msecs"
Threads:  4 | Map Partitions: 1024 | "Elapsed time: 20943.1016 msecs"
Threads:  8 | Map Partitions: 1024 | "Elapsed time: 13684.7077 msecs"
Threads: 16 | Map Partitions: 1024 | "Elapsed time: 11655.1354 msecs"
Threads: 20 | Map Partitions: 1024 | "Elapsed time: 11033.0116 msecs"
Threads: 32 | Map Partitions: 1024 | "Elapsed time: 10958.1237 msecs"
Threads: 64 | Map Partitions: 1024 | "Elapsed time: 11502.0297 msecs"
Threads:  1 | Map Partitions: 2048 | "Elapsed time: 76985.2053 msecs"
Threads:  2 | Map Partitions: 2048 | "Elapsed time: 43027.6207 msecs"
Threads:  4 | Map Partitions: 2048 | "Elapsed time: 27055.3153 msecs"
Threads:  8 | Map Partitions: 2048 | "Elapsed time: 17820.5334 msecs"
Threads: 16 | Map Partitions: 2048 | "Elapsed time: 14856.5959 msecs"
Threads: 20 | Map Partitions: 2048 | "Elapsed time: 13844.1012 msecs"
Threads: 32 | Map Partitions: 2048 | "Elapsed time: 13956.1684 msecs"
Threads: 64 | Map Partitions: 2048 | "Elapsed time: 14541.7633 msecs"
Threads:  1 | Map Partitions: 4096 | "Elapsed time: 91176.6958 msecs"
Threads:  2 | Map Partitions: 4096 | "Elapsed time: 55119.7662 msecs"
Threads:  4 | Map Partitions: 4096 | "Elapsed time: 35109.9173 msecs"
Threads:  8 | Map Partitions: 4096 | "Elapsed time: 23377.6848 msecs"
Threads: 16 | Map Partitions: 4096 | "Elapsed time: 18897.9297 msecs"
Threads: 20 | Map Partitions: 4096 | "Elapsed time: 17623.2914 msecs"
Threads: 32 | Map Partitions: 4096 | "Elapsed time: 17958.1562 msecs"
Threads: 64 | Map Partitions: 4096 | "Elapsed time: 18398.4612 msecs"
Threads:  1 | Map Partitions: 8192 | "Elapsed time: 109056.3129 msecs"
Threads:  2 | Map Partitions: 8192 | "Elapsed time: 70555.6859 msecs"
Threads:  4 | Map Partitions: 8192 | "Elapsed time: 44205.9219 msecs"
Threads:  8 | Map Partitions: 8192 | "Elapsed time: 29521.2929 msecs"
Threads: 16 | Map Partitions: 8192 | "Elapsed time: 23122.9672 msecs"
Threads: 20 | Map Partitions: 8192 | "Elapsed time: 21404.0925 msecs"
Threads: 32 | Map Partitions: 8192 | "Elapsed time: 22254.8898 msecs"
Threads: 64 | Map Partitions: 8192 | "Elapsed time: 21569.1901 msecs"
Threads:  1 | Map Partitions: 10000 | "Elapsed time: 159196.7236 msecs"
Threads:  2 | Map Partitions: 10000 | "Elapsed time: 112951.1719 msecs"
Threads:  4 | Map Partitions: 10000 | "Elapsed time: 72081.1693 msecs"
Threads:  8 | Map Partitions: 10000 | "Elapsed time: 47184.2852 msecs"
Threads: 16 | Map Partitions: 10000 | "Elapsed time: 34215.663 msecs"
Threads: 20 | Map Partitions: 10000 | "Elapsed time: 32881.9294 msecs"
Threads: 32 | Map Partitions: 10000 | "Elapsed time: 32991.1631 msecs"
Threads: 64 | Map Partitions: 10000 | "Elapsed time: 32752.6377 msecs"
End: Sat Nov 23 00:56:49 CST 2019

Start: Sat Nov 23 06:18:55 CST 2019
Threads:  1 | Map Partitions: 1 | "Elapsed time: 58820.9254 msecs"
Threads:  2 | Map Partitions: 1 | "Elapsed time: 59779.9896 msecs"
Threads:  4 | Map Partitions: 1 | "Elapsed time: 58998.49 msecs"
Threads:  8 | Map Partitions: 1 | "Elapsed time: 59104.2722 msecs"
Threads: 16 | Map Partitions: 1 | "Elapsed time: 59067.3694 msecs"
Threads: 20 | Map Partitions: 1 | "Elapsed time: 59017.1392 msecs"
Threads: 32 | Map Partitions: 1 | "Elapsed time: 59289.6294 msecs"
Threads: 64 | Map Partitions: 1 | "Elapsed time: 59065.5071 msecs"
Threads:  1 | Map Partitions: 2 | "Elapsed time: 57954.9206 msecs"
Threads:  2 | Map Partitions: 2 | "Elapsed time: 33492.7758 msecs"
Threads:  4 | Map Partitions: 2 | "Elapsed time: 33559.498 msecs"
Threads:  8 | Map Partitions: 2 | "Elapsed time: 33499.6007 msecs"
Threads: 16 | Map Partitions: 2 | "Elapsed time: 33494.5977 msecs"
Threads: 20 | Map Partitions: 2 | "Elapsed time: 33612.4929 msecs"
Threads: 32 | Map Partitions: 2 | "Elapsed time: 33514.986 msecs"
