Start: Thu Nov 21 13:52:07 CST 2019
Threads:  1 | Map Partitions: 1 | "Elapsed time: 60364.6138 msecs"
Threads:  1 | Map Partitions: 2 | "Elapsed time: 34086.6272 msecs"
Threads:  1 | Map Partitions: 4 | "Elapsed time: 20165.0614 msecs"
Threads:  1 | Map Partitions: 8 | "Elapsed time: 13452.0525 msecs"
Threads:  1 | Map Partitions: 16 | "Elapsed time: 11171.1054 msecs"
Threads:  1 | Map Partitions: 20 | "Elapsed time: 10701.016 msecs"
Threads:  1 | Map Partitions: 32 | "Elapsed time: 9517.5939 msecs"
Threads:  1 | Map Partitions: 64 | "Elapsed time: 8848.5084 msecs"
Threads:  1 | Map Partitions: 128 | "Elapsed time: 8642.9391 msecs"
Threads:  1 | Map Partitions: 512 | "Elapsed time: 9951.8235 msecs"
Threads:  1 | Map Partitions: 1024 | "Elapsed time: 11582.1472 msecs"
Threads:  1 | Map Partitions: 2048 | "Elapsed time: 14567.4887 msecs"
Threads:  1 | Map Partitions: 4096 | "Elapsed time: 18633.8531 msecs"
Threads:  1 | Map Partitions: 8192 | "Elapsed time: 23111.6319 msecs"
Threads:  1 | Map Partitions: 10000 | "Elapsed time: 35456.507 msecs"
End: Thu Nov 21 13:58:17 CST 2019

Start: Thu Nov 21 13:59:08 CST 2019
Threads:  1 | Map Partitions: 1 | "Elapsed time: 58633.2156 msecs"
Threads:  1 | Map Partitions: 2 | "Elapsed time: 33080.2739 msecs"
Threads:  1 | Map Partitions: 4 | "Elapsed time: 19653.321 msecs"
Threads:  1 | Map Partitions: 8 | "Elapsed time: 13174.3294 msecs"
Threads:  1 | Map Partitions: 16 | "Elapsed time: 10875.8264 msecs"
Threads:  1 | Map Partitions: 20 | "Elapsed time: 10373.1432 msecs"
Threads:  1 | Map Partitions: 32 | "Elapsed time: 9243.1302 msecs"
Threads:  1 | Map Partitions: 64 | "Elapsed time: 8534.7675 msecs"
Threads:  1 | Map Partitions: 128 | "Elapsed time: 8297.158 msecs"
Threads:  1 | Map Partitions: 512 | "Elapsed time: 9795.2983 msecs"
Threads:  1 | Map Partitions: 1024 | "Elapsed time: 11355.3654 msecs"
Threads:  1 | Map Partitions: 2048 | "Elapsed time: 14245.8231 msecs"
Threads:  1 | Map Partitions: 4096 | "Elapsed time: 18096.7321 msecs"
Threads:  1 | Map Partitions: 8192 | "Elapsed time: 22431.9353 msecs"
Threads:  1 | Map Partitions: 10000 | "Elapsed time: 34519.6448 msecs"
End: Thu Nov 21 14:05:10 CST 2019

Start: Thu Nov 21 15:52:23 CST 2019
Threads:  1 | Map Partitions: 1 | "Elapsed time: 61961.7936 msecs"
Threads:  1 | Map Partitions: 2 | "Elapsed time: 34592.8869 msecs"
Threads:  1 | Map Partitions: 4 | "Elapsed time: 20279.7569 msecs"
Threads:  1 | Map Partitions: 8 | "Elapsed time: 13511.6226 msecs"
Threads:  1 | Map Partitions: 16 | "Elapsed time: 11101.2723 msecs"
Threads:  1 | Map Partitions: 20 | "Elapsed time: 10713.644 msecs"
Threads:  1 | Map Partitions: 32 | "Elapsed time: 9582.8971 msecs"
Threads:  1 | Map Partitions: 64 | "Elapsed time: 8813.3708 msecs"
Threads:  1 | Map Partitions: 128 | "Elapsed time: 8672.0066 msecs"
Threads:  1 | Map Partitions: 512 | "Elapsed time: 10093.4939 msecs"
Threads:  1 | Map Partitions: 1024 | "Elapsed time: 11618.2908 msecs"
Threads:  1 | Map Partitions: 2048 | "Elapsed time: 14743.9438 msecs"
Threads:  1 | Map Partitions: 4096 | "Elapsed time: 18755.7514 msecs"
Threads:  1 | Map Partitions: 8192 | "Elapsed time: 23354.1605 msecs"
Threads:  1 | Map Partitions: 10000 | "Elapsed time: 36264.6336 msecs"
End: Thu Nov 21 15:58:39 CST 2019

